,Name,Ratings,Price
49,"""HP Stream 14-ax020nr 14"""" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",3.711,199.99
15,"""HP Stream 14-ax067nr 14"""" Laptop, Windows 10 Home, Intel Celeron N3060 Dual-Core Processor, 4GB RAM, 32GB Flash Storage""",4.0,219.99
1099,"""HP x2 10-p020nr 10.1"""" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Atom x5-Z8350 Processor, 2GB RAM, 32GB eMMC Drive""",3.385,239.99
2749,"""Hisense Chromebook (11.6"""" Quad-Core Processor)""",4.087,149.99
2049,"""Lenovo Gaming Laptop 15.6"""", FHD Screen, Intel core i7-7700hq, 2.8-3.8 GHZ, Nvidia GeForce GTX 1050 Ti Graphic Card, 8GB DDR4 Memory, 1TB HDD, 80WK00T2US""",4.2,849.0
3924,"""Lenovo N22 11.6"""" Chromebook, Chrome, Intel Celeron N3050 Processor, 4GB Memory, 16GB eMMC Drive""",4.235,189.99
799,"""Lenovo ideapad 320 15.6"""" Laptop, Windows 10, AMD A9-9420 Dual-Core Processor, 4GB RAM, 1TB Hard Drive - Onyx Black""",3.3,249.0
122,"""Lenovo ideapad 320 15.6"""" Laptop, Windows 10, AMD A9-9420 Dual-Core Processor, 4GB RAM, 1TB Hard Drive - Platinum Grey""",3.333,249.0
5,"""Lenovo ideapad 320 15.6"""" Laptop, Windows 10, Intel Celeron N3350 Dual-Core Processor, 4GB RAM, 1TB Hard Drive""",3.514,229.0
23,"""Lenovo ideapad 320 15.6"""" Laptop, Windows 10, Intel Pentium N4200 Quad-Core Processor, 4GB RAM, 1TB Hard Drive - Denim Blue""",2.967,289.0
2448,"""Lenovo ideapad 320 15.6"""" Laptop, Windows 10, Intel Pentium N4200 Quad-Core Processor, 4GB RAM, 1TB Hard Drive - Platinum Grey""",4.011,269.0
3088,"""MAXIMUS 11.6"""" Laptop PC with Intel Atom Z3735F Quad-Core Processor, 2GB Memory, touch screen, 32GB Storage and Windows 10""",3.069,199.0
1848,"""MSI Gaming Laptop 17.3"""" FHD Screen, Intel Core i7-7700HQ, 2.8-3.8 GHZ, NVIDIA GEFORCE GTX1050TI Graphic Card, 16G DDR5 Memory, 1 TB HDD, GF622096""",5.0,899.0
1424,"""MSI Gaming Laptop, 17.3"""" FHD Screen, Intel Core i7-7700HQ, 2.8-3.8 GHZ, NVIDIA GEFORCE GTX1050 Graphic Card, 16G DDR5 Memory, 128GB NVMe SSD + 1 TB HDD, GL72MX1227""",4.0,999.0
2615,"""Microsoft Surface Pro 4 12.3"""" 4GB/128GB Intel Core m3""",3.714,749.0
2299,"""Refurbished Apple MacBook Air 11.6"""" LED Laptop Intel i5-3317 1.7GHz 4GB 64GB SSD - MD223LLA""",2.904,349.99
